Model,Graph,Hyperparameter 1,Hyperparameter 2,Mean relative optimality gap (%),Median relative optimality gap (%),Minimum relative optimality gap (%),Standard deviation on relative optimality gap (%)
CIM,G1,B_num_vertices=220.00,zeta=0.75,0.18,0.19,0.02,0.06
CIM,G2,B_num_vertices=220.00,zeta=0.75,0.19,0.20,0.04,0.06
CIM,G3,B_num_vertices=220.00,zeta=0.75,0.17,0.17,0.05,0.06
CIM,G4,B_num_vertices=220.00,zeta=0.75,0.18,0.18,0.05,0.05
CIM,G5,B_num_vertices=220.00,zeta=0.75,0.18,0.18,0.04,0.06
NEC,G1,gamma_factor=1.80,r_target=2.60,3.32,3.29,3.12,0.11
NEC,G2,gamma_factor=0.40,r_target=2.60,3.32,3.28,3.28,0.12
NEC,G3,gamma_factor=1.20,r_target=2.00,3.24,3.21,3.17,0.08
NEC,G4,gamma_factor=0.60,r_target=2.20,3.15,3.15,3.15,0.04
NEC,G5,gamma_factor=0.80,r_target=1.80,3.35,3.32,3.21,0.12
Polynomial,G1,poly_order=9.00,gamma_factor=0.55,3.66,3.66,3.22,0.18
Polynomial,G2,poly_order=10.00,gamma_factor=0.55,3.64,3.64,3.18,0.18
Polynomial,G3,poly_order=8.00,gamma_factor=0.75,3.55,3.52,3.12,0.20
Polynomial,G4,poly_order=10.00,gamma_factor=0.20,3.57,3.56,3.21,0.17
Polynomial,G5,poly_order=9.00,gamma_factor=0.55,3.63,3.62,3.16,0.19
Sigmoid,G1,gamma_factor=0.30,alpha=-50.00,3.49,3.49,3.49,0.00
Sigmoid,G2,gamma_factor=1.10,alpha=-50.00,3.43,3.43,3.43,0.00
Sigmoid,G3,gamma_factor=1.00,alpha=-30.00,3.28,3.28,3.28,0.03
Sigmoid,G4,gamma_factor=1.20,alpha=-30.00,3.32,3.32,3.32,0.00
Sigmoid,G5,gamma_factor=0.30,alpha=-30.00,3.29,3.29,3.29,0.00
q-PDC,G1,gamma_rate/gamma_th=0.20,,6.03,6.00,5.35,0.29
q-PDC,G2,gamma_rate/gamma_th=0.20,,6.03,6.03,5.23,0.28
q-PDC,G3,gamma_rate/gamma_th=0.24,,6.06,5.99,5.33,0.36
q-PDC,G4,gamma_rate/gamma_th=0.20,,6.01,5.94,5.17,0.40
q-PDC,G5,gamma_rate/gamma_th=0.44,,6.08,6.05,5.29,0.35
q-SHIL,G1,,,3.69,3.69,3.29,0.18
q-SHIL,G2,,,3.68,3.68,3.22,0.15
q-SHIL,G3,,,3.65,3.66,3.25,0.17
q-SHIL,G4,,,3.66,3.66,3.23,0.19
q-SHIL,G5,,,3.67,3.68,3.07,0.17
